Eu estou comendo queijo.	Eu comi o queijo.
Tenho que limpar meu quarto.	Devo limpar a sala.
Para de me olhar assim.	Não olhe assim para mim.
Para de me olhar assim.	Não me olhe desse jeito.
Para de me olhar assim.	Não olhes para mim assim.
Para de me olhar assim.	Não me olhe assim.
Para de me olhar assim.	Por favor, não me olhe assim.
Para de me olhar assim.	Não me olhem assim.
Que tipo de livro você quer?	Qual livro você quer?
De qual livro você precisa?	Qual livro você quer?
De que tipo de livro você precisa?	Qual livro você quer?
Eu esqueci de colocar o selo antes de enviar a carta.	Esqueci de colar o selo na carta antes de enviá-la.
Ele esteve na França três vezes.	Ele visitou a França por três vezes.
Ela foi à França três vezes.	Ele visitou a França por três vezes.
Você tem algum lápis?	Tens uma caneta contigo?
Você tem um lápis?	Tens uma caneta contigo?
Você tem lápis?	Tens uma caneta contigo?
Será que você tem algo com que escrever?	Tens uma caneta contigo?
Você tem alguma coisa com que escrever?	Tens uma caneta contigo?
O senhor tem uma caneta?	Tens uma caneta contigo?
Tens um lápis?	Tens uma caneta contigo?
Esta menina é do Japão.	Esta garota vem do Japão.
Quando esta igreja foi construída?	Quando foi construído este templo?
Vamos, toma outro.	Vamos, tome outro.
Coma bolo se quiser, por favor.	Sirva-se de um pedaço de bolo, por favor.
Por favor, coma um pouco de bolo.	Sirva-se de um pedaço de bolo, por favor.
Por favor, prove do bolo.	Sirva-se de um pedaço de bolo, por favor.
Por favor, sirva-se do bolo.	Sirva-se de um pedaço de bolo, por favor.
Queira comer um pedaço de bolo!	Sirva-se de um pedaço de bolo, por favor.
Sirva-se de um pedaço de bolo, por favor.	Come um pedaço de torta.
Está chovendo.	Hoje está um tempo chuvoso.
Está chovendo.	Começou a chover.
Está chovendo.	Estava começando a nevar.
Está chovendo.	Começava a chover.
Está chovendo.	Estava começando a chover.
Está chovendo.	Estava chovendo.
Está chovendo.	Chove a cântaros.
Está chovendo.	Hoje choverá.
Está chovendo.	Hoje chove.
Está chovendo.	Chove.
Está chovendo.	Está chovendo muito hoje.
Está chovendo.	Está chovendo lá fora.
Está chovendo.	Choveu forte.
Está chovendo.	Começou a nevar.
Está chovendo.	Acabou de começar a nevar.
Está chovendo.	Está a chover a potes.
Está chovendo.	Está chovendo forte esta noite.
Está chovendo.	Chovia, ontem à noite.
Está chovendo.	Está chovendo a cântaros.
Está chovendo.	A chuva cai copiosamente.
Está chovendo.	Choveu ontem à tarde.
O tempo está muito chuvoso.	Está chovendo.
O tempo está chuvoso.	Está chovendo.
Está chovendo.	Está nevando lá fora.
Está chovendo.	Hoje está chuvoso.
Está chovendo.	Tá caindo um toró.
Está chovendo.	Tá caindo um pé-d'água.
Está chovendo.	Tá caindo uma tromba-d'água.
Está chovendo.	Caiu uma chuva forte.
Está chovendo.	Hoje está chovendo.
Ele não está com os pés no chão.	Está chovendo.
Está chovendo.	Começou a chover forte.
Está chovendo.	Tem chovido muito.
Está chovendo.	Começou a chover neste instante.
Está chovendo.	Estava chovendo noite passada.
Está a chover.	Está chovendo.
Ao sair, feche a porta.	Feche a porta ao sair do quarto.
Você ligou para ele?	Vocês ligaram para ele?
Por favor, tenha mais cuidado no futuro.	Por favor, seja um pouco mais cuidadoso futuramente.
A que distância está o aeroporto?	Quão longe daqui é o aeroporto?
Você ligou?	Você me telefonou?
Você me chamou?	Você ligou?
Você ligou?	Vocês me chamaram?
Ela tem boas notas em Inglês.	Ela tira boas notas em inglês.
Desculpa, Jorge! Não te vi!	Perdão, Jorge! Não tinha te visto!
Eu trabalho nesta empresa.	Eu trabalhei nessa fábrica.
O banho quente relaxa meus músculos.	O banho quente relaxou meus músculos.
Como é que se soletra o seu nome?	Você poderia soletrar o seu nome, por favor?
Você poderia soletrar o seu nome, por favor?	Soletre seu nome, por favor.
Você pode soletrar o seu nome para mim?	Você poderia soletrar o seu nome, por favor?
Você está com febre?	Tens febre?
Tens febre?	Você tem um acendedor?
Tens febre?	Tens um isqueiro?
Você tem fogo?	Tens febre?
O senhor tem fogo?	Tens febre?
Você tem um fósforo?	Tens febre?
Tem um isqueiro?	Tens febre?
Você tem fósforo?	Tens febre?
O senhor tem fósforo?	Tens febre?
A senhora tem fósforo?	Tens febre?
O senhor tem um isqueiro?	Tens febre?
Tem um fósforo?	Tens febre?
Você tem isqueiro?	Tens febre?
Tens febre?	Você tem acendedor?
Me dê uma luz, por favor?	Tens febre?
Tens febre?	Tu tens um fósforo?
Tens febre?	Tens um fósforo?
Não me lembro de seu nome.	Não lembro o nome dele.
Esqueci o nome.	Não lembro o nome dele.
Não lembro o nome dele.	Não consigo lembrar o nome dele.
Não lembro o nome dele.	Não consigo lembrar-me do nome dele.
Não lembro o nome dele.	Não me lembro mais do nome dessa pessoa.
Não lembro o nome dele.	Não consigo lembrar o seu nome.
Você esqueceu seu nome.	Não lembro o nome dele.
Eu não lembro mais o seu nome.	Não lembro o nome dele.
Não lembro o nome dele.	Eu esqueci como ele se chamava.
Não lembro o nome dele.	Não consigo lembrar de seu nome neste momento.
Não lembro o nome dele.	Não consegui lembrar o nome deles.
Não lembro o nome dele.	Eu esqueci qual era o nome dele.
Esqueci o seu nome.	Não lembro o nome dele.
Não lembro o nome dele.	Eu esqueci o sobrenome dela.
Não lembro o nome dele.	Eu não consigo lembrar o nome dela.
Eu não sei como ele se chama.	Não lembro o nome dele.
Não lembro o nome dele.	Eu não conseguia me lembrar do nome dele.
Não lembro o nome dele.	Seu nome me escapa à mente.
Eu esqueci o teu nome.	Não lembro o nome dele.
Acho que o ano que vem nos encontraremos.	Poderei vê-lo ano que vem.
Ele é um herói.	Ele é heroico.
Estou trabalhando no meu novo livro.	Estou escrevendo um novo livro.
Eu não sei voar.	Não consigo voar.
Não consigo voar.	Eu não posso voar.
Pode comer e beber o tanto que quiser.	Coma e beba o máximo que você puder.
Eu também não gosto disso.	Eu tampouco gosto disso.
Estou pegando o livro.	Estou segurando um livro.
Estou pegando um livro.	Estou segurando um livro.
Eu pego um livro.	Estou segurando um livro.
Ele levanta o nariz.	Ele tem um narigão.
Ele tem um narigão.	Ele empina o nariz.
O bebê dormiu.	Os nenês estão dormindo.
O bebé está a dormir.	O bebê dormiu.
O bebê está dormindo.	O bebê dormiu.
O bebê dormiu.	O menino ainda está dormindo.
O bebê dormiu.	As crianças estão adormecidas.
O bebê dormiu.	O bebê está adormecido.
O bebê dormiu.	A criança estava profundamente adormecida.
As crianças estão dormindo.	O bebê dormiu.
O bebê dormiu.	O bebê dormia profundamente.
Podem superar o medo.	Eles podem vencer o medo.
Ele fez um discurso.	Ele proferiu um discurso.
Ele falou.	Ele proferiu um discurso.
Ele prometeu voltar.	Ele prometeu regressar.
Queria ser rico.	Queria ser rica.
Queria ser rico.	Quem dera fosse rica.
Queria ser rico.	Eu gostaria de ser rico.
Não o conhecemos.	Nós não nos conhecemos.
Não o conhecemos.	Nós não a conhecemos.
Não o conhecemos.	Nós não o conhecemos.
É um bom começo.	Isto não é bom sinal.
Isto não é bom sinal.	Isto é um mau sinal.
Isto não é bom sinal.	Esse é um mau começo.
Isso, sim, é um bom começo.	Isto não é bom sinal.
Você está dirigindo muito rápido.	Você está dirigindo rápido demais.
Você dirige muito rápido.	Você está dirigindo rápido demais.
Não ligue para ela agora.	Não o chame agora.
Ele fala não só francês, mas também espanhol.	Ele não fala apenas espanhol, mas também francês.
Ele não fala apenas espanhol, mas também francês.	Ele fala tanto espanhol como francês.
Eu falo francês e espanhol também.	Ele não fala apenas espanhol, mas também francês.
Ele não só fala francês mas espanhol também.	Ele não fala apenas espanhol, mas também francês.
O Tom está à procura da Mary.	Tom está ligando para a Mary.
Obrigado por hoje.	Obrigada por hoje.
Obrigado por hoje.	Muito obrigado por hoje.
Obrigado por hoje.	Muito obrigada por hoje.
Onde teu avó vive?	Onde mora o seu avô?
Onde mora o seu avô?	Onde vive teu vovô?
Onde mora o seu avô?	Onde mora teu vovô?
Essa carne cheira mal.	A carne estava exalando um cheiro terrível.
Lincoln faleceu no ano de 1865.	Lincoln morreu no ano de mil oitocentos e sessenta e cinco.
Os animais não podem distinguir o verdadeiro do falso.	Animais não sabem distinguir certo de errado.
Estou procurando meu irmão.	Estou ligando para o meu irmão.
Eu estou a procurar meu irmão.	Estou ligando para o meu irmão.
Quem vai pagar?	Quem pagará?
Quem vai pagar?	Quem está pagando?
Este clube tem cinquenta membros.	Este clube conta com cinquenta membros.
Este clube tem cinquenta membros.	Há 50 membros neste clube.
Este clube tem cinquenta membros.	Cinquenta membros pertencem a esta associação.
Eu vim aqui ontem.	Eu cheguei ontem aqui.
Ontem, vim.	Eu cheguei ontem aqui.
Eu cheguei ontem aqui.	Eu vim aqui ontem à noite.
Eu cheguei ontem aqui.	Cheguei aqui ontem.
Eu estive bem aqui ontem.	Eu cheguei ontem aqui.
Eu cheguei ontem aqui.	Cheguei ontem.
Eu cheguei ontem.	Eu cheguei ontem aqui.
Eu cheguei ontem aqui.	Eu cheguei ontem à noite.
Eu estive aqui ontem.	Eu cheguei ontem aqui.
Eu cheguei ontem aqui.	Eu cheguei aqui noite passada.
Ele tem uma cara redonda.	Ele tem um rosto redondo.
Ele tem um rosto redondo.	Ela tem o rosto redondo.
Ele tem um rosto redondo.	Ela tem um rosto oval.
De quem é esse caderno?	De quem é este laptop?
De quem é este laptop?	De quem é este computador portátil?
De quem são estes livros?	De quem é este laptop?
De quem são esses livros?	De quem é este laptop?
Abre a boca.	Abra a sua boca!
Abra a sua boca!	Abram a boca!
Abra a sua boca!	Abra a boquinha!
Abra bem a boca.	Abra a sua boca!
Eu não disse isso.	Eu nunca disse isso!
Não foi isso que eu disse.	Eu nunca disse isso!
Não é isso o que eu estou dizendo.	Eu nunca disse isso!
Depende do tempo.	Depende do tempo que faça.
Não posso responder a todas as questões.	Eu não pude responder todas as perguntas.
É a decisão dele.	A decisão pertence a ele.
É a decisão dele.	Foi decisão dele.
Eu entendo agora.	Agora o entendo.
Agora o entendo.	Eu compreendo agora.
Agora o entendo.	Agora eu entendi.
Meu telefone não está funcionando.	Meu telefone estava avariado.
Meu celular não funciona.	Meu telefone não está funcionando.
Meu telefone não está funcionando.	Meu celular está estragado.
Meu telefone não está funcionando.	Meu celular está quebrado.
O meu telefone estava estragado.	Meu telefone não está funcionando.
O meu telefone não funciona.	Meu telefone não está funcionando.
O meu telefone não estava funcionando.	Meu telefone não está funcionando.
Desligue a luz.	Poderias acender a luz, por favor?
Desliga a luz.	Poderias acender a luz, por favor?
Apaga a luz.	Poderias acender a luz, por favor?
Apague a luz.	Poderias acender a luz, por favor?
Você poderia, por gentileza, acender a luz?	Poderias acender a luz, por favor?
O senhor poderia acender a luz por favor?	Poderias acender a luz, por favor?
Apague as luzes.	Poderias acender a luz, por favor?
Poderias acender a luz, por favor?	Acenda as luzes.
Por favor, acenda a luz.	Poderias acender a luz, por favor?
Quer acender a luz?	Poderias acender a luz, por favor?
Pode apagar a luz?	Poderias acender a luz, por favor?
Poderias acender a luz, por favor?	Acenda os seus faróis.
Você vai ligar a luz?	Poderias acender a luz, por favor?
Só se vê bem com o coração. O essencial é invisível para os olhos.	E eis agora o meu segredo, um segredo muito simples: É somente com o coração que se pode ver bem; aquilo que é essencial é invisível aos olhos.
Eu não como há três dias.	Não comi nada nos últimos três dias.
Faz três dias que não como.	Não comi nada nos últimos três dias.
Ela estava no chuveiro.	Eu me lavei.
Eu me lavei.	Acabei de tomar banho.
Eu me lavei.	Lavei-me.
Eu me lavei.	Eu tomei um banho.
Eu me lavei.	Eu tomei banho.
Não há outra escolha.	É a única possibilidade.
Não há outra escolha.	É a sua única possibilidade.
Não há outra escolha.	Esta é a sua única oportunidade.
Isso é uma possibilidade.	Não há outra escolha.
Não há outra escolha.	Essa é a única maneira.
Não há outra escolha.	Essa é uma opção.
Não há outra maneira.	Não há outra escolha.
Não há outro caminho.	Não há outra escolha.
Ela estava ocupada com as tarefas de casa.	Ela estava ocupada com o trabalho doméstico.
Eu não trabalho no domingo.	Aos domingos eu não trabalho.
Não trabalho aos domingos.	Aos domingos eu não trabalho.
Não trabalho domingo.	Aos domingos eu não trabalho.
Quero mais uma cerveja.	Quero outra cerveja.
Sua mãe está em casa?	A sua mãe está em casa agora?
Sua mãe está em casa?	A sua mãe se encontra em casa?
A sua mãe está aqui?	Sua mãe está em casa?
Este é o meu computador.	Eis meu computador.
O que quer que ele diga, não confie nele.	Não importa o que ele disse, não confie nele.
Ken colocou as roupas.	Ken vestiu-se.
A Lua é bela no outono.	No outono a lua é bonita.
Você quer vinho branco ou tinto?	Você prefere vinho branco ou vinho tinto?
O que você prefere, vinho branco ou vinho tinto?	Você prefere vinho branco ou vinho tinto?
De qual você gosta mais: de vinho branco ou de tinto?	Você prefere vinho branco ou vinho tinto?
Você prefere vinho tinto ou branco?	Você prefere vinho branco ou vinho tinto?
Eu tenho dois filhos.	Temos duas crianças.
Se ao menos eu tivesse asas!	Quem me dera ter asas!
Se ao menos eu tivesse asas!	Oxalá eu tivesse asas!
Estou a acabar os meus trabalhos de casa.	Estou terminando os deveres.
É um problema?	Isso te importa?
É um problema?	Esse é o problema?
Bem-vindo à Austrália.	Bem-vinda à Austrália.
Bem-vindo à Austrália.	Bem-vindos à Austrália.
Ele era pobre como um rato de igreja.	Ele é tão pobre quanto um rato de igreja.
Ele era pobre como um rato de igreja.	Ele é pobre como Jó.
É feio demais.	Isto é feio demais.
É feio demais.	Está feio demais.
É feio demais.	Isto está feio demais.
O ponto final no fim da frase está faltando.	O ponto final está faltando no fim dessa sentença.
Eu não vou esquecer.	Não me esquecerei disso.
Não vou esquecer.	Não me esquecerei disso.
O Universo está cheio de segredos.	O espaço está cheio de mistérios.
O Universo está cheio de segredos.	O Universo é cheio de mistérios.
O Universo está cheio de segredos.	A natureza é cheia de mistérios.
O Universo está cheio de segredos.	O espaço é repleto de mistérios.
Ele está colocando as crianças para dormir.	Ele põe os meninos na cama.
Ele está colocando as crianças para dormir.	Ela põe as crianças na cama.
Fumar é ruim para a sua saúde.	Fumar é perigoso à saúde.
Fumar mata.	Fumar é perigoso à saúde.
Fumar pode matar.	Fumar é perigoso à saúde.
Fumar não é bom para a saúde.	Fumar é perigoso à saúde.
Fumar é terrível à sua saúde.	Fumar é perigoso à saúde.
Fumar não faz bem à saúde.	Fumar é perigoso à saúde.
Fumar faz mal para você.	Fumar é perigoso à saúde.
Fumar faz mal à saúde.	Fumar é perigoso à saúde.
Onde posso comprar selos?	Onde se compram selos?
Obrigado pelo seu belo cartão-postal.	Obrigado pelo bonito cartão postal.
Estou resfriado.	Peguei um resfriado.
Estou resfriado.	Peguei um resfriado terrível.
Tenho febre.	Estou resfriado.
Estou com febre.	Estou resfriado.
Estou resfriado.	Meu nariz está pingando.
Estou resfriado.	Meu nariz está escorrendo.
Eu peguei gripe.	Estou resfriado.
